,,Uranus,,Neptune,,,,,
L,m,glm,hlm,glm,hlm,,,,
15,13,0,0,-0.48,2.74,,,"gcoeff[(""Neptune"",""g"",15,13)]=-0.48","gcoeff[(""Neptune"",""g"",15,13)]=2.74"
15,14,0,0,2.43,-1.46,,,"gcoeff[(""Neptune"",""g"",15,14)]=2.43","gcoeff[(""Neptune"",""g"",15,14)]=-1.46"
15,15,0,0,-0.77,-0.37,,,"gcoeff[(""Neptune"",""g"",15,15)]=-0.77","gcoeff[(""Neptune"",""g"",15,15)]=-0.37"
16,0,0,,-4.02,,,,"gcoeff[(""Neptune"",""g"",16,0)]=-4.02",
16,1,0,0,-2.63,-60.83,,,"gcoeff[(""Neptune"",""g"",16,1)]=-2.63","gcoeff[(""Neptune"",""g"",16,1)]=-60.83"
16,2,0,0,8.27,37.45,,,"gcoeff[(""Neptune"",""g"",16,2)]=8.27","gcoeff[(""Neptune"",""g"",16,2)]=37.45"
16,3,0,0,-4.8,-61.25,,,"gcoeff[(""Neptune"",""g"",16,3)]=-4.8","gcoeff[(""Neptune"",""g"",16,3)]=-61.25"
16,4,0,0,8.29,45.31,,,"gcoeff[(""Neptune"",""g"",16,4)]=8.29","gcoeff[(""Neptune"",""g"",16,4)]=45.31"
16,5,0,0,17.65,-43.13,,,"gcoeff[(""Neptune"",""g"",16,5)]=17.65","gcoeff[(""Neptune"",""g"",16,5)]=-43.13"
16,6,0,0,-4.71,27.52,,,"gcoeff[(""Neptune"",""g"",16,6)]=-4.71","gcoeff[(""Neptune"",""g"",16,6)]=27.52"
16,7,0,0,13.05,-17.2,,,"gcoeff[(""Neptune"",""g"",16,7)]=13.05","gcoeff[(""Neptune"",""g"",16,7)]=-17.2"
16,8,0,0,-7.32,12.49,,,"gcoeff[(""Neptune"",""g"",16,8)]=-7.32","gcoeff[(""Neptune"",""g"",16,8)]=12.49"
16,9,0,0,9.98,-20.23,,,"gcoeff[(""Neptune"",""g"",16,9)]=9.98","gcoeff[(""Neptune"",""g"",16,9)]=-20.23"
16,10,0,0,-6.45,17.96,,,"gcoeff[(""Neptune"",""g"",16,10)]=-6.45","gcoeff[(""Neptune"",""g"",16,10)]=17.96"
16,11,0,0,6.3,-9.17,,,"gcoeff[(""Neptune"",""g"",16,11)]=6.3","gcoeff[(""Neptune"",""g"",16,11)]=-9.17"
16,12,0,0,-1.81,0.4,,,"gcoeff[(""Neptune"",""g"",16,12)]=-1.81","gcoeff[(""Neptune"",""g"",16,12)]=0.4"
16,13,0,0,-2.99,2.2,,,"gcoeff[(""Neptune"",""g"",16,13)]=-2.99","gcoeff[(""Neptune"",""g"",16,13)]=2.2"
16,14,0,0,2.74,-0.7,,,"gcoeff[(""Neptune"",""g"",16,14)]=2.74","gcoeff[(""Neptune"",""g"",16,14)]=-0.7"
16,15,0,0,-0.61,-0.57,,,"gcoeff[(""Neptune"",""g"",16,15)]=-0.61","gcoeff[(""Neptune"",""g"",16,15)]=-0.57"
16,16,0,0,-0.22,0.23,,,"gcoeff[(""Neptune"",""g"",16,16)]=-0.22","gcoeff[(""Neptune"",""g"",16,16)]=0.23"
