NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR
WASP-42 b,157.9446857,10.81351951,10.81351951,10.81351951,11.91514652,0.571658017,0.571658017,0.571658017
HD 192310 c,23.39362266,3.129654587,3.129654587,3.129654587,,,,
HD 1690 b,2074.211045,425.4038907,425.4038907,425.4038907,,,,
HAT-P-41 b,254.3340146,32.97569815,32.97569815,32.97569815,18.88713253,0.851882536,0.571658017,0.711770276
HD 28185 b,1842.449638,93.29474847,93.29474847,93.29474847,,,,
HD 23127 b,446.4910229,31.92181827,31.92181827,31.92181827,,,,
HD 154672 b,1591.110727,111.1954513,111.1954513,111.1954513,,,,
OGLE-TR-10 b,197.0462991,44.4943256,44.4943256,44.4943256,14.01122591,1.569257302,1.345077688,1.457167495
gamma Leo A b,3296.457457,261.9565282,261.9565282,261.9565282,,,,
NN Ser c,712.223848,30.55155195,30.55155195,30.55155195,,,,
HAT-P-2 b,2819.239924,129.0017626,129.0017626,129.0017626,12.96879071,0.818255593,0.706165786,0.76221069
HAT-P-24 b,217.9767477,11.51382842,11.51382842,11.51382842,13.92155407,0.751001709,0.751001709,0.751001709
HD 11506 b,1504.76631,107.979465,107.979465,107.979465,,,,
tau Boo b,1891.008838,88.9886512,88.9886512,88.9886512,,,,
HD 34445 b,251.2359382,24.4753115,24.4753115,24.4753115,,,,
OGLE-2007-BLG-368L b,19.99066486,6.991965451,8.008978608,7.50047203,,,,
HD 125612 b,975.0772547,45.37404198,45.37404198,45.37404198,,,,
42 Dra b,1186.101128,124.9378416,124.9378416,124.9378416,,,,
HD 153950 b,871.481752,33.56302325,33.56302325,33.56302325,,,,
HD 16141 b,79.34355268,6.432226835,6.432226835,6.432226835,,,,
HIP 91258 b,339.428141,12.07703123,12.07703123,12.07703123,,,,
WASP-24 b,346.7379231,12.87398817,12.87398817,12.87398817,14.57167495,0.437150249,0.425941268,0.431545758
HAT-P-29 b,247.5804116,20.40366755,20.40366755,20.40366755,12.40834167,1.2217789,1.2217789,1.2217789
HD 204313 d,510.5469609,89.39100703,89.39100703,89.39100703,,,,
PSR B1257+12 B,4.300217661,0.200010575,0.200010575,0.200010575,,,,
HD 50554 b,1397.998998,128.6035384,128.6035384,128.6035384,,,,
HD 11964 c,24.49377664,3.505644351,3.505644351,3.505644351,,,,
HD 13189 b,2263.909425,325.6921071,325.6921071,325.6921071,,,,
HD 60532 b,328.8766295,22.08733283,22.08733283,22.08733283,,,,
HD 104067 b,59.09323165,4.310356011,4.310356011,4.310356011,,,,
HD 20794 b,2.69724284,0.30597985,0.30597985,0.30597985,,,,
HD 195019 b,1137.748509,38.44246169,38.44246169,38.44246169,,,,
GJ 832 b,204.7625686,23.74010633,23.74010633,23.74010633,,,,
GJ 667 C b,5.560233399,0.342749325,0.342749325,0.342749325,,,,
CoRoT-19 b,352.1153801,20.46831144,20.46831144,20.46831144,14.45958514,0.336269422,0.336269422,0.336269422
alpha Ari b,545.5703515,61.24898172,61.24898172,61.24898172,,,,
61 Vir b,5.108902029,0.583864075,0.583864075,0.583864075,,,,
HD 210702 b,592.5976755,39.9829188,39.9829188,39.9829188,,,,
HAT-P-4 b,213.4160793,11.41377975,11.41377975,11.41377975,14.28024145,0.549240056,0.672538844,0.61088945
HAT-P-21 b,1296.161021,54.87453395,54.87453395,54.87453395,11.47799627,1.031226227,1.031226227,1.031226227
alpha Cen B b,1.127101653,0.096052443,0.096052443,0.096052443,,,,
mu Ara b,554.7552516,21.95709158,21.95709158,21.95709158,,,,
WASP-45 b,319.9046666,16.54753504,16.54753504,16.54753504,13.00241765,3.138514605,1.569257302,2.353885953
HD 73526 c,769.4022346,52.97685096,52.97685096,52.97685096,,,,
14 Her b,1657.369134,94.8393372,94.8393372,94.8393372,,,,
HAT-P-33 b,242.5754356,32.65502119,32.65502119,32.65502119,18.89834151,0.504404133,0.504404133,0.504404133
OGLE-05-169L b,12.71266446,3.178166114,3.178166114,3.178166114,,,,
HIP 79431 b,671.5433218,25.44090193,25.44090193,25.44090193,,,,
HD 171238 b,829.1867174,46.94310259,46.94310259,46.94310259,,,,
HIP 5158 b,453.3113674,92.49257934,92.49257934,92.49257934,,,,
WASP-46 b,668.1522185,27.9470766,27.9470766,27.9470766,14.68376476,0.571658017,0.571658017,0.571658017
GJ 849 b,264.069373,52.58021583,52.58021583,52.58021583,,,,
HAT-P-1 b,169.1957116,9.646496917,9.646496917,9.646496917,13.92155407,0.594075979,0.594075979,0.594075979
OGLE2-TR-L9 b,1453.826664,479.5852666,479.5852666,479.5852666,18.04645898,0.448359229,0.448359229,0.448359229
WASP-22 b,177.678237,32.58891534,32.58891534,32.58891534,12.55405842,0.448359229,0.448359229,0.448359229
WASP-2 b,288.7869243,11.13111365,11.13111365,11.13111365,12.07207225,0.61649394,0.650120882,0.633307411
HD 164922 b,113.7551463,19.10265346,19.10265346,19.10265346,,,,
tau Gru b,386.0518379,36.44085267,36.44085267,36.44085267,,,,
WASP-34 b,185.3995915,9.073568911,9.073568911,9.073568911,13.67495649,1.23298788,0.896718458,1.064853169
HD 96063 b,362.8416908,51.51298765,51.51298765,51.51298765,,,,
HAT-P-22 b,683.7411233,24.5297217,24.5297217,24.5297217,12.10569919,0.650120882,0.650120882,0.650120882
CoRoT-7 b,4.44943256,0.985231495,0.985231495,0.985231495,1.613969926,0.102147441,0.102147441,0.102147441
HD 5608 b,468.3726966,35.98160766,35.98160766,35.98160766,,,,
HATS-1 b,592.7502275,80.22644722,80.22644722,80.22644722,14.59409291,1.815854878,1.098480112,1.457167495
HD 80606 b,1236.478239,59.77590173,59.77590173,59.77590173,11.53404117,0.190552672,0.190552672,0.190552672
WASP-78 b,280.9489311,25.61319031,25.61319031,25.61319031,19.05526724,1.23298788,1.23298788,1.23298788
HD 86264 b,2106.291454,643.0478844,643.0478844,643.0478844,,,,
HD 82943 c,505.1250095,32.83649448,32.83649448,32.83649448,,,,
iota Hor b,650.5165748,64.25171307,64.25171307,64.25171307,,,,
HD 37124 d,218.2287762,23.90657867,23.90657867,23.90657867,,,,
HD 192263 b,203.2062206,12.23530391,12.23530391,12.23530391,,,,
HD 204313 b,1112.637819,70.32010344,70.32010344,70.32010344,,,,
TrES-3 b,607.0297278,23.83624586,25.42532891,24.63078739,14.97519826,0.347478403,0.414732287,0.381105345
HIP 14810 b,1231.351857,41.06635563,41.06635563,41.06635563,,,,
HD 90156 b,17.96601414,1.489952878,1.489952878,1.489952878,,,,
Pr 211 b,586.0347625,22.88435332,22.88435332,22.88435332,,,,
24 Sex c,482.1786502,63.61766893,63.61766893,63.61766893,,,,
HD 60532 c,782.8204519,46.38183846,46.38183846,46.38183846,,,,
HD 68988 b,572.0444752,31.67096562,31.67096562,31.67096562,,,,
HAT-P-26 b,18.63959466,2.282879898,2.282879898,2.282879898,6.333074113,0.582866998,0.582866998,0.582866998
HD 149143 b,422.0954198,24.93185506,24.93185506,24.93185506,,,,
HD 79498 b,427.8828603,23.30434798,23.30434798,23.30434798,,,,
HD 181433 c,203.534843,8.598496641,8.598496641,8.598496641,,,,
70 Vir b,2371.369577,80.16447298,80.16447298,80.16447298,,,,
HD 102365 b,16.20146453,2.575776509,2.575776509,2.575776509,,,,
BD -08 2823 b,14.60081295,1.005749736,1.005749736,1.005749736,,,,
CoRoT-11 b,746.2747198,108.6974127,108.6974127,108.6974127,16.02884245,0.336269422,0.336269422,0.336269422
GJ 436 b,23.10460024,1.01160074,1.01160074,1.01160074,4.222423041,0.091913642,0.103122623,0.097518132
WASP-37 b,570.0422306,52.86021226,52.86021226,52.86021226,13.00241765,0.784628651,0.672538844,0.728583748
HD 6718 b,495.5078789,37.06345541,37.06345541,37.06345541,,,,
HD 33636 b,2946.004258,105.2004765,105.2004765,105.2004765,,,,
HAT-P-40 b,197.1098624,26.19635201,26.19635201,26.19635201,19.39153666,0.694956805,0.694956805,0.694956805
HD 240237 b,1690.622286,375.4749011,375.4749011,375.4749011,,,,
rho CrB b,338.1854781,16.84561524,16.84561524,16.84561524,,,,
HD 11977 b,2351.881063,212.0548707,212.0548707,212.0548707,,,,
HD 73534 b,339.5171297,26.91862204,26.91862204,26.91862204,,,,
HD 164604 b,854.4499598,357.5627569,357.5627569,357.5627569,,,,
OGLE-05-071L b,1207.703123,127.1266446,127.1266446,127.1266446,,,,
OGLE235-MOA53 b,826.3231897,254.2532891,190.6899669,222.471628,,,,
HD 37124 c,205.9798062,17.52091197,17.52091197,17.52091197,,,,
HD 217107 c,831.2366345,47.60575023,47.60575023,47.60575023,,,,
HD 74156 b,563.622335,28.6948673,28.6948673,28.6948673,,,,
HD 103774 b,116.9736751,7.284579206,7.284579206,7.284579206,,,,
Kepler-76 b,622.9205584,79.45415286,79.45415286,79.45415286,,,,
KELT-6 b,137.0488792,15.06444382,15.06444382,15.06444382,13.37231401,1.457167495,0.863091516,1.160129506
WASP-13 b,150.6078893,10.94868692,10.94868692,10.94868692,15.77103589,0.582866998,0.582866998,0.582866998
HD 13931 b,597.8861439,44.98884825,44.98884825,44.98884825,,,,
HAT-P-18 b,62.67502486,4.256072934,4.256072934,4.256072934,11.15293583,0.582866998,0.582866998,0.582866998
HD 155358 c,256.4878577,17.69666456,17.69666456,17.69666456,,,,
WASP-43 b,564.4709054,32.88448478,32.88448478,32.88448478,10.42435208,0.784628651,1.008808266,0.896718458
14 And b,1488.598979,71.89329567,71.89329567,71.89329567,,,,
81 Cet b,1370.094699,115.3864989,115.3864989,115.3864989,,,,
CoRoT-3 b,6945.850261,315.1707881,315.1707881,315.1707881,11.32107054,0.784628651,0.784628651,0.784628651
HAT-P-38 b,85.0378729,6.427237115,6.427237115,6.427237115,9.247409103,1.031226227,0.706165786,0.868696007
mu Ara e,172.676757,9.48412441,9.48412441,9.48412441,,,,
HD 136118 b,3712.384056,133.0828457,133.0828457,133.0828457,,,,
HD 6434 b,126.235169,5.884819504,5.884819504,5.884819504,,,,
HD 5319 b,539.7797329,74.90301898,74.90301898,74.90301898,,,,
HD 231701 b,345.3617771,33.47308115,33.47308115,33.47308115,,,,
PH-2 b,155.1574341,33.05642357,33.05642357,33.05642357,10.11096019,0.559499636,0.559499636,0.559499636
CoRoT-18 b,1108.073972,119.3563462,119.3563462,119.3563462,14.68376476,2.017616532,2.017616532,2.017616532
HD 75898 b,799.3214904,69.07394451,69.07394451,69.07394451,,,,
MOA-2008-BLG-310L b,73.09782063,15.89083057,15.89083057,15.89083057,,,,
GJ 1214 b,6.467790514,0.995891065,0.995891065,0.995891065,2.677825497,0.129912087,0.129912087,0.129912087
16 Cyg B b,521.2097082,26.48035294,26.48035294,26.48035294,,,,
HAT-P-25 b,180.2595435,8.360642689,8.360642689,8.360642689,13.33868707,0.907927439,0.627702921,0.76781518
HD 213240 b,1440.500613,58.69087582,58.69087582,58.69087582,,,,
HD 12661 b,743.945124,32.0429064,32.0429064,32.0429064,,,,
HD 74156 c,2620.91918,113.4732429,113.4732429,113.4732429,,,,
HD 20794 c,2.363338351,0.429316213,0.429316213,0.429316213,,,,
HD 38801 b,3181.503189,136.6595538,136.6595538,136.6595538,,,,
HD 132563 B b,474.3317581,43.43981008,43.43981008,43.43981008,,,,
GJ 667 C c,4.15344995,0.681093711,0.681093711,0.681093711,,,,
HD 207832 c,232.0995644,51.11476343,51.11476343,51.11476343,,,,
HD 5891 b,1661.688262,196.8546557,196.8546557,196.8546557,,,,
HD 173416 b,863.8509752,92.93148408,92.93148408,92.93148408,,,,
HD 76700 b,73.77858381,6.242998825,6.242998825,6.242998825,,,,
HD 39091 b,3206.133976,119.5149367,119.5149367,119.5149367,,,,
HD 7449 b,417.3249925,165.0717233,165.0717233,165.0717233,,,,
HD 149026 b,114.8814883,4.957525977,4.957525977,4.957525977,7.330673398,0.672538844,0.515613114,0.594075979
OGLE-2006-BLG-109L c,86.1283017,6.991965451,6.991965451,6.991965451,,,,
Qatar-2 b,789.4850663,27.59312424,27.59312424,27.59312424,12.82307396,0.392314326,0.392314326,0.392314326
HD 216437 b,689.0804424,29.9201139,29.9201139,29.9201139,,,,
HAT-P-49 b,549.692433,66.22885021,66.22885021,66.22885021,15.83828977,1.434749534,0.863091516,1.148920525
PSR B1257+12 C,3.900213674,0.200010575,0.200010575,0.200010575,,,,
HD 49674 b,32.28095104,2.605934127,2.605934127,2.605934127,,,,
HD 82943 b,535.5591283,30.85220646,30.85220646,30.85220646,,,,
WASP-38 b,860.9683785,31.78547494,31.78547494,31.78547494,12.217789,0.224179615,0.224179615,0.224179615
HD 77338 b,15.8316849,4.666946249,4.666946249,4.666946249,,,,
HD 220773 b,460.7546324,79.90990188,79.90990188,79.90990188,,,,
WASP-6 b,165.6968685,6.515176971,6.515176971,6.515176971,13.71979241,0.571658017,0.582866998,0.577262508
HD 159868 c,232.0061263,15.89083057,15.89083057,15.89083057,,,,
HD 137388 b,72.40370915,9.080274842,9.080274842,9.080274842,,,,
HD 95086 b,1430.174751,476.7249171,476.7249171,476.7249171,,,,
HD 100777 b,370.2627086,26.28438722,26.28438722,26.28438722,,,,
HAT-P-5 b,335.4903932,36.02578417,36.02578417,36.02578417,14.05606184,0.571658017,0.627702921,0.599680469
HD 222582 b,2424.95028,110.8455352,110.8455352,110.8455352,,,,
WASP-33 b,0,1303.048107,0,651.5240534,16.77984415,0.504404133,0.504404133,0.504404133
HD 128311 b,463.1223662,48.23121332,48.23121332,48.23121332,,,,
HD 181433 d,170.1850747,16.15868641,16.15868641,16.15868641,,,,
TrES-1 b,239.151915,15.13973457,15.13973457,15.13973457,11.95998244,0.246597576,0.235388595,0.240993086
HD 4208 b,256.6232476,13.06763383,13.06763383,13.06763383,,,,
HD 5388 b,624.538245,32.31336833,32.31336833,32.31336833,,,,
CoRoT-10 b,875.6991785,50.86178141,50.86178141,50.86178141,10.87271131,0.784628651,0.784628651,0.784628651
11 UMi b,3523.728116,352.4459094,352.4459094,352.4459094,,,,
WASP-62 b,178.6987461,13.31356032,13.31356032,13.31356032,15.58048322,0.672538844,0.672538844,0.672538844
HD 4732 c,751.6140389,84.89771578,84.89771578,84.89771578,,,,
kappa CrB b,627.5924626,36.91884885,36.91884885,36.91884885,,,,
HD 99492 b,33.74544998,3.719280677,3.719280677,3.719280677,,,,
HD 204941 b,84.82207542,10.98663422,10.98663422,10.98663422,,,,
HD 196050 b,903.6797529,48.15684423,48.15684423,48.15684423,,,,
WASP-11 b,171.5431051,16.48524298,16.48524298,16.48524298,10.20017247,0.672538844,0.336269422,0.504404133
HD 111232 b,2174.444048,79.61496806,79.61496806,79.61496806,,,,
HD 117618 b,56.14294004,10.96839155,10.96839155,10.96839155,,,,
HD 180902 b,497.0492894,63.31733223,63.31733223,63.31733223,,,,
HIP 12961 b,112.6068749,8.493776067,8.493776067,8.493776067,,,,
HD 63454 b,122.221463,5.144719961,5.144719961,5.144719961,,,,
BD +48 738 b,402.1651401,63.81249051,63.81249051,63.81249051,,,,
NGC 2423 3 b,2107.461019,341.0807874,341.0807874,341.0807874,,,,
HD 13908 b,274.9113689,11.1235814,11.1235814,11.1235814,,,,
HD 50499 b,554.5041765,44.36910586,44.36910586,44.36910586,,,,
CoRoT-14 b,2445.484411,143.9858624,143.9858624,143.9858624,12.217789,0.784628651,0.784628651,0.784628651
CoRoT-4 b,228.0076756,23.00664916,23.00664916,23.00664916,13.33868707,0.61649394,0.61649394,0.61649394
HAT-P-19 b,92.88921447,5.585372693,5.585372693,5.585372693,12.68856619,0.807046613,0.807046613,0.807046613
HD 154857 c,819.7030697,47.01047971,47.01047971,47.01047971,,,,
GJ 163 b,10.76635553,0.848535393,0.848535393,0.848535393,,,,
HD 2039 b,1883.060245,310.9021932,310.9021932,310.9021932,,,,
XO-2 b,180.055823,17.9745634,17.9745634,17.9745634,11.01842806,0.325060441,0.31385146,0.319455951
HD 187085 b,255.4273037,,,,,,,
HD 118203 b,678.9293798,24.71450028,24.71450028,24.71450028,,,,
WASP-63 b,120.1651895,10.0666187,10.0666187,10.0666187,16.02884245,1.120898073,0.672538844,0.896718458
HD 175167 b,2472.092018,865.4114548,865.4114548,865.4114548,,,,
HAT-P-16 b,1335.62431,44.99520458,44.99520458,44.99520458,14.44837616,0.739792728,0.739792728,0.739792728
TrES-4 b,293.9803656,26.06096214,26.06096214,26.06096214,19.98561264,1.042435208,0.963972343,1.003203775
NGC 4349 127 b,3141.811072,607.5859069,607.5859069,607.5859069,,,,
GJ 676 A b,1556.351124,104.8909232,104.8909232,104.8909232,,,,
HD 47186 c,110.6907585,24.23230892,24.23230892,24.23230892,,,,
HIP 14810 d,184.5243246,11.56541005,11.56541005,11.56541005,,,,
HD 142245 b,600.7941659,69.50458602,69.50458602,69.50458602,,,,
HD 30177 b,3078.950125,172.8750745,172.8750745,172.8750745,,,,
HD 190647 b,604.7922989,41.79828729,41.79828729,41.79828729,,,,
HD 97658 b,7.86246515,0.730024756,0.730024756,0.730024756,2.339998026,0.180109265,0.149889853,0.164999559
HD 106270 b,3523.600989,276.6132768,276.6132768,276.6132768,,,,
HD 30856 b,590.2521889,56.04028528,56.04028528,56.04028528,,,,
HD 48265 b,383.4298509,81.37757899,81.37757899,81.37757899,,,,
CoRoT-27 b,3301.542523,244.3796805,244.3796805,244.3796805,11.2874436,0.493195152,0.493195152,0.493195152
HD 89307 b,569.362103,47.80184308,47.80184308,47.80184308,,,,
HD 163607 c,728.5628,34.20374154,34.20374154,34.20374154,,,,
WASP-49 b,120.2080948,8.345673526,8.345673526,8.345673526,12.49801351,0.526822094,0.526822094,0.526822094
HD 4313 b,690.2118695,38.96654128,38.96654128,38.96654128,,,,
HR 8799 b,2224.71628,1271.266446,635.6332229,953.4498343,13.45077688,1.120898073,1.120898073,1.120898073
HD 2638 b,151.7018141,5.136266039,5.136266039,5.136266039,,,,
HD 168443 b,2446.377476,92.3559182,92.3559182,92.3559182,,,,
HD 10180 f,23.62178321,1.655942138,1.655942138,1.655942138,,,,
HD 45350 b,583.5557929,30.39550399,30.39550399,30.39550399,,,,
HD 69830 c,11.68640284,0.809008541,0.809008541,0.809008541,,,,
HD 47186 b,22.62949618,0.876798824,0.876798824,0.876798824,,,,
KELT-3 b,464.5334719,20.97589635,20.97589635,20.97589635,15.22179583,0.76221069,0.77341967,0.76781518
HD 148427 b,363.4455423,29.31524533,29.31524533,29.31524533,,,,
epsilon Tau b,2439.760534,94.01333183,94.01333183,94.01333183,,,,
HD 208487 b,162.7856684,30.95813474,30.95813474,30.95813474,,,,
epsilon Eri b,335.1312604,59.85726278,59.85726278,59.85726278,,,,
HD 20782 b,603.8515617,158.9083057,158.9083057,158.9083057,,,,
HD 190360 c,18.74285328,2.119862224,2.119862224,2.119862224,,,,
HD 65216 b,386.5794135,21.48691368,21.48691368,21.48691368,,,,
HAT-P-13 b,272.3942613,11.24508269,11.24508269,11.24508269,14.35870432,0.885509478,0.885509478,0.885509478
GJ 3634 b,7.051746756,0.871513534,0.871513534,0.871513534,,,,
HD 130322 b,331.5113292,12.6330514,12.6330514,12.6330514,,,,
omega Ser b,540.5520272,57.19014578,57.19014578,57.19014578,,,,
HD 16175 b,1391.865137,231.257986,231.257986,231.257986,,,,
HD 46375 b,72.20825193,2.88600366,2.88600366,2.88600366,,,,
CoRoT-13 b,416.6543994,24.60723717,24.60723717,24.60723717,9.919947947,0.15692573,0.15692573,0.15692573
HD 98219 b,674.8931089,43.67372311,43.67372311,43.67372311,,,,
HD 11964 b,193.2661883,10.35764337,10.35764337,10.35764337,,,,
HAT-P-34 b,1059.600583,76.83820433,76.83820433,76.83820433,13.41714993,1.434749534,1.031226227,1.23298788
MOA-2010-BLG-477L b,476.7249171,254.2532891,95.34498343,174.7991363,,,,
HD 139357 b,3202.129487,384.9458361,384.9458361,384.9458361,,,,
HD 1461 b,7.628997067,1.726751679,1.726751679,1.726751679,,,,
HAT-P-30 b,225.9955786,11.26272151,11.26272151,11.26272151,15.02003418,0.728583748,0.728583748,0.728583748
HD 8535 b,216.8132211,16.61615164,16.61615164,16.61615164,,,,
HAT-P-28 b,199.5357566,11.91958489,11.91958489,11.91958489,13.58528465,1.092875621,1.092875621,1.092875621
HD 4203 b,661.7418575,36.99290012,36.99290012,36.99290012,,,,
HD 102956 b,302.4015523,15.35159113,15.35159113,15.35159113,,,,
Fomalhaut b,158.9083057,953.4498343,0,476.7249171,,,,
GJ 176 b,8.262246666,1.0785647,1.0785647,1.0785647,,,,
HD 23079 b,776.5213267,30.36918878,30.36918878,30.36918878,,,,
HD 178911 B b,2317.286724,154.6352614,154.6352614,154.6352614,,,,
WASP-58 b,283.2950533,22.66973177,22.66973177,22.66973177,15.3563036,2.241796146,2.241796146,2.241796146
HD 162020 b,4835.198363,161.5515865,161.5515865,161.5515865,,,,
MOA-bin-1L b,1175.921462,667.414884,667.414884,667.414884,,,,
HD 168746 b,77.89780491,5.35133254,5.35133254,5.35133254,,,,
